t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
5940,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6000,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6060,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6120,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6180,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6240,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6300,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6360,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6420,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6480,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6540,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6600,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
6660,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
